player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Aleksandar Pavlovic,2023,27,4,0,2,2,635
Aleksandar Radovanovic,2020,826,0,0,0,0,90
Aleksandar Radovanovic,2023,3302,1,0,0,0,249
Aleksandar Sedlar,2019,237,3,1,0,0,813
Aleksandar Sedlar,2021,237,5,0,0,0,401
Aleksandar Sedlar,2023,1108,2,0,1,0,949
Aleksandar Trajkovski,2019,237,0,0,0,1,318
Aleksander Buksa,2021,252,0,0,0,0,61
Aleksandr Golovin,2019,162,6,0,3,4,2070
Aleksandr Golovin,2020,162,2,0,5,9,1072
Aleksandr Golovin,2021,162,4,1,3,4,1507
Aleksandr Golovin,2022,162,5,0,8,7,2483
Aleksandr Golovin,2023,162,8,1,6,4,1718
Aleksandr Kokorin,2020,430,1,0,0,0,91
Aleksandr Kokorin,2021,430,1,0,0,0,49
Aleksey Miranchuk,2020,800,0,0,4,2,664
Aleksey Miranchuk,2021,800,0,0,2,4,765
Aleksey Miranchuk,2022,416,0,0,4,6,2094
Aleksey Miranchuk,2023,800,1,0,2,4,711
Alemão,2022,7378,0,0,0,0,362
Alemão,2023,7378,6,0,0,1,1487
Ales Mateju,2019,19,10,0,0,1,2458
Ales Mateju,2020,19,0,0,0,0,90
Ales Mateju,2021,607,3,0,0,1,730
Alessandro Bastoni,2019,46,9,0,2,0,1845
Alessandro Bastoni,2020,46,6,0,0,3,3003
Alessandro Bastoni,2021,46,4,0,1,3,2321
Alessandro Bastoni,2022,46,3,0,0,2,2165
Alessandro Bastoni,2023,46,4,0,1,0,1557
Alessandro Berardi,2020,276,0,0,0,0,26
Alessandro Berardi,2021,276,0,0,0,0,90
Alessandro Bianco,2022,430,1,0,0,0,150
Alessandro Buongiorno,2020,416,4,0,0,0,857
Alessandro Buongiorno,2021,416,5,0,0,2,1180
Alessandro Buongiorno,2022,416,8,0,1,2,2725
Alessandro Buongiorno,2023,416,5,0,3,1,1557
Alessandro Cortinovis,2022,276,0,0,0,0,5
Alessandro Deiola,2019,1005,3,0,1,1,718
Alessandro Deiola,2019,1390,0,0,0,0,1
Alessandro Deiola,2020,1390,2,0,0,0,616
Alessandro Deiola,2020,3522,1,0,0,0,357
Alessandro Deiola,2021,1390,5,0,4,1,2144
Alessandro Deiola,2023,1390,3,0,0,0,760
Alessandro Di Pardo,2020,506,0,0,0,0,11
Alessandro Di Pardo,2023,1390,0,0,0,0,226
